UPC,PriceNet_$,,UPC
0076732802120,5,,00076732802120
0093624903789,12.4,,00093624903789
0602567737353,10.44,,00602567737353
0696998575226,5.94,,00696998575226
0078636633626,5.94,,00078636633626
0081227832827,13.26,,00081227832827
0081227825126,6.48,,00081227825126
0075992539425,3.3,,00075992539425
0886970523622,5.94,,00886970523622
0602498620557,6.67,,00602498620557
0828767735221,5.94,,00828767735221
0825646285907,12.4,,00825646285907
0602557261653,13.19,,00602557261653
0888072031326,9.98,,00888072031326
0602517891388,2.7,,00602517891388
0602527016405,5,,00602527016405
0081227999018,3.1,,00081227999018
0793018928229,8.25,,00793018928229
0050087384708,19.57,,00050087384708
0888837615822,8.25,,00888837615822
0886972441429,8.25,,00886972441429
0602527091068,13.8,,00602527091068
0602537158904,13.8,,00602537158904
0081227986254,3.3,,00081227986254
0736211602091,7.15,,00736211602091
0050087306830,10.44,,00050087306830
0602537939510,3.5,,00602537939510
0190295793531,3.84,,00190295793531
0602567010500,8.25,,00602567010500
0602567411277,8.25,,00602567411277
0190758661421,8.58,,00190758661421
0888072374126,18.44,,00888072374126
0067003116923,10.08,,00067003116923
0602547573933,13.22,,00602547573933
4050538426281,7.15,,04050538426281
0603497856657,11.34,,00603497856657
0093624907640,10,,00093624907640
0843930028184,13.19,,00843930028184
0075678970801,3.3,,00075678970801
0889854165826,9.35,,00889854165826
0602557455366,17.88,,00602557455366
0093624909170,13.26,,00093624909170
0888072046818,5.23,,00888072046818
0889854483920,33.96,,00889854483920
0075678658747,10.09,,00075678658747
0190758484228,12.54,,00190758484228
0858978005776,19.14,,00858978005776
0076744203328,3.5,,00076744203328
0731458639626,5,,00731458639626
0081227932756,16.88,,00081227932756
0606949359720,8.25,,00606949359720
0050087169138,8.25,,00050087169138
0602547048448,26.79,,00602547048448
0602547868527,11.39,,00602547868527
0602557251234,11.39,,00602557251234
0602567647577,26.79,,00602567647577
0731454055727,5,,00731454055727
0880882286729,8.25,,00880882286729
0081227935238,24.37,,00081227935238
0602567051664,10.44,,00602567051664
0050087387471,3.5,,00050087387471
0783027034424,11.08,,00783027034424
0844942061817,7.15,,00844942061817
0602527681412,5,,00602527681412
0190758746623,9.35,,00190758746623
0886978310828,5.94,,00886978310828
0602498603161,10.44,,00602498603161
0190758954721,9.35,,00190758954721
0828768199121,10.01,,00828768199121
0659123112925,9.98,,00659123112925
0889854475321,10.51,,00889854475321
0020286227144,13.05,,00020286227144
0602537286461,11.39,,00602537286461
0752830542273,6.63,,00752830542273
0731454392822,15.4,,00731454392822
0075678358623,5.64,,00075678358623
0602498603772,10.44,,00602498603772
0602547013736,10.44,,00602547013736
0888750438928,8.25,,00888750438928
0602527594934,23.1,,00602527594934
0606949008628,5,,00606949008628
0731453462724,5,,00731453462724
0093624910602,10.09,,00093624910602
0886973692127,8.73,,00886973692127
0008811222925,5,,00008811222925
0888430969124,4.68,,00888430969124
0602557993141,11.57,,00602557993141
0603497860678,28.33,,00603497860678
0606949033521,3.58,,00606949033521
0602537286454,8.25,,00602537286454
0602567813682,10.44,,00602567813682
0752830444218,9.1,,00752830444218
0075992727327,3.3,,00075992727327
0190296960246,10.63,,00190296960246
0600753802885,17.46,,00600753802885
0888072054936,20.71,,00888072054936
0602537854363,23.1,,00602537854363
0794043196904,10.44,,00794043196904
0190758862613,18.88,,00190758862613
0697691884110,7.15,,00697691884110
0050087244422,6.67,,00050087244422
0094638247210,17.63,,00094638247210
5099931924221,13.22,,05099931924221
0887654009111,20.83,,00887654009111
0602557455328,104.74,,00602557455328
0190758196114,17.01,,00190758196114
0190758590226,38.66,,00190758590226
0081227991319,4.02,,00081227991319
0602567940425,10.8,,00602567940425
0093624904663,10.09,,00093624904663
0791558444827,13.37,,00791558444827
0081227986506,19.14,,00081227986506
0011661062429,8.25,,00011661062429
0081227976514,3.3,,00081227976514
